YEAR;MANUSE;MANUSE_Q
2004;1.00;2514
2004;2.00;8297
2005;1.00;2245
2005;2.00;6334
2006;1.00;2421
2006;2.00;7047
2007;1.00;2264
2007;2.00;7091
2008;1.00;2020
2008;2.00;7721
2009;1.00;1030
2009;2.00;5367
2010;1.00;883
2010;2.00;4627
2011;1.00;832
2011;2.00;3819
2012;1.00;571
2012;2.00;2652
2013;1.00;588
2013;2.00;2570
2014;1.00;536
2014;2.00;2303
2015;1.00;428
2015;2.00;2010
