YEAR;BAGFAIL;INJSEV;BAGFAIL_sum;BAGFAIL_ratio
2004;0.0;3861;4042;0.385
2004;1.0;6266;6425;0.611
2004;2.0;40;40;0.004
2005;0.0;2888;3021;0.361
2005;1.0;5175;5322;0.636
2005;2.0;27;28;0.003
2006;0.0;2948;3089;0.338
2006;1.0;5803;6016;0.659
2006;2.0;22;22;0.002
2007;0.0;2596;2695;0.306
2007;1.0;5906;6100;0.692
2007;2.0;15;16;0.002
2008;0.0;2259;2401;0.264
2008;1.0;6461;6693;0.735
2008;2.0;14;14;0.002
2009;0.0;840;877;0.151
2009;1.0;4750;4933;0.847
2009;2.0;14;14;0.002
2010;0.0;693;744;0.148
2010;1.0;4141;4286;0.851
2010;2.0;9;9;0.002
2011;0.0;435;476;0.112
2011;1.0;3590;3754;0.886
2011;2.0;5;5;0.001
2012;0.0;349;364;0.124
2012;1.0;2476;2565;0.874
2012;2.0;7;7;0.002
2013;0.0;281;293;0.104
2013;1.0;2430;2511;0.894
2013;2.0;6;6;0.002
2014;0.0;177;194;0.075
2014;1.0;2286;2379;0.923
2014;2.0;5;5;0.002
2015;0.0;148;155;0.072
2015;1.0;1895;1988;0.938
