AGE;ROLE;AGE_sum;AGE_ratio
1.00;1.00;3083;0.10
1.00;2.00;27216;0.90
1.00;3.00;11865;0.43
2.00;1.00;19236;0.52
2.00;2.00;17960;0.48
2.00;3.00;11865;0.43
3.00;1.00;8678;0.61
3.00;2.00;5510;0.39
3.00;3.00;11865;0.43
4.00;1.00;24027;0.68
4.00;2.00;11492;0.32
4.00;3.00;11865;0.43
5.00;1.00;13164;0.68
5.00;2.00;6232;0.32
5.00;3.00;11865;0.43
6.00;1.00;4059;0.60
6.00;2.00;2728;0.40
6.00;3.00;11865;0.43
