SEATPOS;MANUSE;MANUSE_sum;MANUSE_ratio;;;
1;1.00;3152;0.22;;;
1;2.00;11512;0.78;;;
1;3;372;0.4;;;
1;4;1222;0.2;;;
2;1.00;1097;0.28;;;
2;2.00;2763;0.72;;;
2;3.00;372;0.4;;;
2;4;1222;0.2;;;
3;1.00;1425;0.30;;;
3;2.00;3330;0.70;;;
3;3.00;372;0.4;;;
3;4;1222;0.2;;;
4;1.00;669;0.40;;;
4;2.00;1004;0.6;;;
4;3.00;372;0.4;;;
4;4;1222;0.2;;;
5;1.00;198;0.27;;;
5;2.00;534;0.73;;;
5;3.00;372;0.4;;;
5;4;1222;0.2;;;
6;1.00;194;0.95;;;
6;2.00;11;0.05;;;
6;3.00;372;0.4;;;
6;4;1222;0.2;;;
